RPM,A_mean,A_std,A_rms,A_min,A_max,A_peak,A_skewness,A_kurtosis,A_crest_factor,A_dominant_freq,A_spectral_centroid,A_spectral_entropy,H_mean,H_std,H_rms,H_min,H_max,H_peak,H_skewness,H_kurtosis,H_crest_factor,H_dominant_freq,H_spectral_centroid,H_spectral_entropy,V_mean,V_std,V_rms,V_min,V_max,V_peak,V_skewness,V_kurtosis,V_crest_factor,V_dominant_freq,V_spectral_centroid,V_spectral_entropy,Flow Rate
1225,-0.08195849440488305,7.778909289381414,7.779341034254094,-16.576,17.666,17.666,0.10987205865815959,-1.0995683468716893,2.2708864314101724,24.30654459138691,745.7146480219842,6.184204304640128,0.007739097999321792,5.119715015324157,5.119720864634466,-11.541,10.906,11.541,-0.22688197833330018,-0.777929644833574,2.254224459720422,31.25127161749745,733.2642107769742,6.017056822301308,-0.035923024754153925,3.2265031973607883,3.2267031698448614,-10.979,9.831,10.979,-0.3475458370076283,0.23936750341207436,3.4025441517534647,24.30654459138691,907.3328302436091,6.438558419174857,24.4
1225,-0.12201451339437094,7.0445461797090365,7.045602771909018,-16.084,16.057,16.084,0.18810854774310914,-1.0413520734814357,2.2828422947894937,24.30654459138691,832.1026465896769,6.234862068038497,-0.2009863004408274,5.487369837813335,5.491049374200568,-11.627,10.271,11.627,-0.19707760686346576,-0.9870528154457201,2.1174459028958843,24.30654459138691,903.1918204986823,5.941254021162064,-0.04336493726687016,3.103339307519777,3.1036422756789297,-8.996,9.284,9.284,-0.22433915186909578,0.27104821391193257,2.991324120293181,24.30654459138691,1092.3526851360966,6.5947302182967364,24.4
125,0.009274601559850798,0.10089887404327172,0.10132423706741639,-0.499,0.533,0.533,0.009177499759239328,0.7944636291962013,5.260340619642336,22.57036283485927,2539.1328797513193,7.911840570265272,0.010023804679552389,0.15544413199568735,0.1557669889037677,-0.569,0.658,0.658,0.22110927730510685,0.22830306697355685,4.2242583273308965,17.36181756527636,2648.8123597281683,7.899176233746712,0.008961478467277045,0.10360804538327638,0.10399488047237003,-0.488,0.39,0.488,-0.13414800940688879,0.43476356181947073,4.692538688283359,19.097999321804,2758.020243114155,8.004060148550769,3.39
125,0.00810932519498135,0.08940615649066007,0.089773169563909,-0.302,0.349,0.349,-0.028352481559297853,0.2887060176481011,3.887575783447736,22.57036283485927,2639.7039064477813,7.9718722739342835,0.0039852831468294376,0.14917977388943793,0.14923299708665047,-0.592,0.592,0.592,0.03278672419440368,0.4027280778335225,3.966951086938647,22.57036283485927,2621.239589590353,7.878496200631375,0.006841166497117665,0.12212726325757807,0.12231872297333332,-0.535,0.533,0.535,-0.015058939328288994,1.0936782079810232,4.373819371190094,22.57036283485927,2550.5392674836266,7.89628926657706,3.39
1250,0.08764564259070873,6.9717664042056535,6.972317301548729,-14.415,15.386,15.386,0.10080962617610113,-1.115453442765413,2.2067268792518058,24.30654459138691,685.4649620159693,6.119422738914377,0.08451739572736526,5.525905028645341,5.526551327526816,-11.731,13.004,13.004,-0.1869775651038002,-0.7677326257739225,2.353004474097486,32.98745337402509,992.3270542025551,6.220843219835522,-0.004299491353001026,2.969898521642379,2.969901633805316,-11.139,9.774,11.139,-0.313943456930442,0.7948247110127018,3.7506292710872278,24.30654459138691,1165.2376486321382,6.743178761286984,25.34
1250,-0.014799389623601058,6.5898298537439475,6.589846471901163,-13.741,14.921,14.921,0.15896599522144594,-0.9915781002048347,2.264240914203773,24.30654459138691,893.0566713538911,6.3918999740843,0.0340849101390302,5.330452420107605,5.33056139483734,-10.82,11.859,11.859,-0.2756152510021734,-0.89561121315664,2.224718771926249,24.30654459138691,1023.0242763512911,6.20577047710596,-0.0017074940657850056,2.8594708091185113,2.859471318921884,-8.234,10.393,10.393,-0.014883878018131059,0.2671345976739987,3.63458795030632,24.30654459138691,1118.4080364916485,6.6802394425353375,25.34
1275,-0.06119484571041035,6.091362881593346,6.091670260642372,-12.46,15.02,15.02,0.1358016910320448,-0.9485756660563927,2.465662019995174,24.30654459138691,753.028628699029,6.226840310155555,-0.14623058663953875,5.810280557062682,5.812120399324981,-12.292,13.265,13.265,-0.1345393701718858,-0.7793618589994065,2.2822995892412337,32.98745337402509,866.2230973363904,6.119127791025396,-0.008369209901661578,2.866855130682434,2.8668673467732293,-9.386,9.983,9.983,-0.2067179313741151,1.0206398408894328,3.4821980902730836,24.30654459138691,1142.6108854841011,6.725396331585017,25.37
1275,-0.08298033231603932,5.753157974112687,5.753756373939348,-13.737,13.038,13.737,0.1246028229393276,-0.9676854553292591,2.3874837770711643,24.30654459138691,953.413402611272,6.481927152826853,-0.0067232282129536525,5.284939971937717,5.284944248408174,-11.441,11.103,11.441,-0.2958518610893992,-0.8934831432189796,2.1648288917042087,32.98745337402509,708.5585245281316,5.874228242579641,-0.03205378094269246,3.019393010581212,3.0195631467514294,-9.05,10.187,10.187,0.042630500415083296,0.39654775422345745,3.3736668203013385,24.30654459138691,1116.431188026937,6.700080320874916,25.37
1300,0.058898406239403164,5.302424167127636,5.3027512736688625,-12.579,18.602,18.602,0.11195558561152855,-0.7424625942436172,3.507990294089292,26.042726347914545,923.0426609156551,6.4968657292814225,0.00019972872160056908,5.79795671315883,5.79795671659897,-12.995,13.034,13.034,-0.14233957799964386,-0.6811864418051776,2.248033339518552,32.98745337402509,790.699341091656,6.0309964139248695,0.007916853170566219,2.9219771281573257,2.921987853164119,-8.71,9.4,9.4,0.01760566879246881,0.6658700179114034,3.2169880479896817,26.042726347914545,917.5721445007704,6.535997869381664,26.39
1300,0.0021033570701932945,4.735666722662951,4.735667189768325,-11.45,13.587,13.587,0.08324144026681429,-0.7471545807630702,2.8690783062955685,26.042726347914545,950.4098521521861,6.543544495391628,-0.07727595795184823,5.249218522212498,5.249787297368926,-11.405,12.074,12.074,-0.23162325679796938,-0.7735128115695229,2.299902703877396,8.68090878263818,803.7356240579087,6.007715600469613,0.014771787046456396,2.7361889148273066,2.7362287885548566,-10.447,9.742,10.447,0.004327785476108457,1.200584103432175,3.8180286837481883,26.042726347914545,1405.7693893543355,6.996316087474021,26.39
1325,-0.03735116988809764,4.90964355890109,4.909785635376657,-12.523,16.543,16.543,0.08627924254033112,-0.4695823245179995,3.36939353946578,26.042726347914545,774.9260598678351,6.4516012845311685,0.09619172600881644,5.787817641864314,5.788616924933653,-13.514,13.925,13.925,-0.154332419269464,-0.6179274620782826,2.4055832646344277,34.72363513055272,677.7836780012063,5.983011336537295,0.004683485927433013,2.9538947368690143,2.9538984497681864,-11.464,9.595,11.464,-0.17606537803709113,1.145635893843716,3.880972956568518,26.042726347914545,1005.1927902617501,6.6506754878945005,27.37
1325,-0.007781281790437492,4.443082802095366,4.443089615866633,-11.11,15.445,15.445,0.09158935780863163,-0.4537358168327419,3.4761846677241564,26.042726347914545,787.6201372389297,6.480158589489448,0.11050186503899632,5.111176172706577,5.112370539252857,-11.815,12.067,12.067,-0.2664166801843744,-0.7867855080955422,2.3603531683295245,34.72363513055272,782.7194650193053,6.02882977186772,0.018109664292980675,2.6758717443313196,2.6759330245825557,-9.475,9.613,9.613,-0.13030300270475206,1.4005481758154428,3.5923918542391857,26.042726347914545,963.5972583671311,6.625640513195131,27.37
